case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_039,40.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,0.9724528541055676,0.9463827114804473,2578,6984,171354,0.0037257233059383443,0.007031779509589109,1335,171354
dataset8_040,5.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789613925240704,0.9587897904704342,6485,6606,311058,0.05861914957267067,0.10635091625969584,39632,311048
dataset8_040,10.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789566726664952,0.9587807358019561,6488,6606,311061,0.05861442971509545,0.10634186159121772,39629,311048
dataset8_040,15.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789566726664952,0.9587807358019561,6488,6606,311061,0.05861442971509545,0.10634186159121772,39629,311048
dataset8_040,20.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789566726664952,0.9587807358019561,6488,6606,311061,0.05861442971509545,0.10634186159121772,39629,311048
dataset8_040,30.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789566726664952,0.9587807358019561,6488,6606,311061,0.05861442971509545,0.10634186159121772,39629,311048
dataset8_040,40.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,0.9789566726664952,0.9587807358019561,6488,6606,311061,0.05861442971509545,0.10634186159121772,39629,311048
dataset8_045,5.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.9792090653597486,0.9592650484350577,6031,5983,288948,0.01004306668888899,0.019088456063024006,5988,288941
dataset8_045,10.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.9791938143866042,0.9592357767681562,6040,5983,288957,0.010027815715744626,0.01905918439612253,5979,288941
dataset8_045,15.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.979168397153695,0.959186994626299,6055,5983,288972,0.01000239848283535,0.019010402254265313,5964,288941
dataset8_045,20.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.9791582306299945,0.9591674831587905,6061,5983,288978,0.0099922319591349,0.018990890786756864,5958,288941
dataset8_045,30.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.9784081850736874,0.9577290761127134,6504,5983,289421,0.009242186402827812,0.017552483740679747,5515,288941
dataset8_045,40.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,0.9777201033991789,0.9564113572517587,6911,5983,289828,0.0085541047283193,0.016234764879725083,5108,288941
